;DJI Avinox;Bosch CX 5 (100 Nm);Gobao P101
00:00:00;91,62383664;99,77030948;100
00:00:01;92,02667037;99,83075435;99,66536531
00:00:02;92,16557855;99,77030948;99,63190184
00:00:03;92,33226837;99,8549323;99,74344674
00:00:04;92,41561328;99,86702128;99,7880647
00:00:05;92,52673982;99,86702128;99,8884551
00:00:06;93,77691346;99,78239845;99,79921919
00:00:07;94,8742881;99,8549323;99,8884551
00:00:08;95,0270871;99,9032882;99,76575572
00:00:09;95,31879428;99,89119923;99,95538204
00:00:10;95,3326851;99,69777563;99,73229225
00:00:11;95,4854841;99,73404255;99,86614612
00:00:12;95,42992082;99,78239845;99,6765198
00:00:13;95,61050146;99,8549323;99,85499163
00:00:14;95,61050146;99,84284333;99,77691021
00:00:15;95,70773719;99,87911025;99,83268265
00:00:16;95,63828309;99,86702128;99,7880647
00:00:17;95,66606473;99,92746615;99,75460123
00:00:18;95,59661064;99,87911025;99,76575572
00:00:19;95,76330046;100;99,63190184
00:00:20;95,80497291;99,9516441;99,72113776
00:00:21;95,94388109;99,96373308;99,63190184
00:00:22;95,99944437;99,87911025;99,79921919
00:00:23;96,04111682;99,91537718;99,59843837
00:00:24;96,05500764;99,91537718;99,82152817
00:00:25;95,98555355;99,91537718;99,63190184
00:00:26;95,97166273;99,81866538;99,74344674
00:00:27;96,04111682;99,9032882;99,64305633
00:00:28;96,27726073;99,86702128;99,74344674
00:00:29;96,26336991;99,92746615;99,65421082
00:00:30;96,51340464;99,83075435;99,59843837
00:00:31;96,37449646;99,9516441;99,65421082
00:00:32;96,54118628;99,84284333;99,64305633
00:00:33;96,34671482;99,84284333;99,74344674
00:00:34;96,65231282;99,77030948;99,55382041
00:00:35;96,47173219;99,8549323;99,70998327
00:00:36;96,61064037;99,79448743;99,5649749
00:00:37;96,44395055;99,7582205;99,70998327
00:00:38;96,69398528;99,7098646;99,53151143
00:00:39;96,49951382;99,8065764;99,75460123
00:00:40;97,81914155;99,81866538;99,62074735
00:00:41;96,20780664;99,8549323;99,66536531
00:00:42;96,44395055;99,73404255;99,58728388
00:00:43;96,38838728;99,74613153;99,60959286
00:00:44;96,68009446;99,63733075;99,58728388
00:00:45;96,62453118;99,68568665;99,48689347
00:00:46;96,95791082;99,67359768;99,5649749
00:00:47;96,80511182;99,84284333;99,52035694
00:00:48;97,04125573;99,8549323;99,6765198
00:00:49;96,94402;99,86702128;99,49804796
00:00:50;97,12460064;99,74613153;99,68767429
00:00:51;96,98569246;99,8065764;99,52035694
00:00:52;97,13849146;99,77030948;99,6765198
00:00:53;97,05514655;99,7582205;99,4645845
00:00:54;97,30518128;99,67359768;99,5649749
00:00:55;97,249618;99,74613153;99,48689347
00:00:56;97,249618;99,7098646;99,52035694
00:00:57;97,20794555;99,69777563;99,55382041
00:00:58;97,26350882;99,67359768;99,60959286
00:00:59;97,402417;99,78239845;99,64305633
00:01:00;97,47187109;99,69777563;99,52035694
00:01:01;97,59688846;99,67359768;99,60959286
00:01:02;97,555216;99,6131528;99,4645845
00:01:03;97,63856091;99,67359768;99,60959286
00:01:04;97,61077927;99,64941973;99,38650307
00:01:05;97,83303237;99,63733075;99,5649749
00:01:06;97,76357827;99,50435203;99,40881205
00:01:07;97,80525073;99,52852998;99,55382041
00:01:08;97,66634255;99,52852998;99,47573898
00:01:09;97,94415891;99,58897485;99,55382041
00:01:10;97,95804973;99,50435203;99,47573898
00:01:11;98,15252118;99,62524178;99,47573898
00:01:12;98,05528546;99,60106383;99,49804796
00:01:13;98,13863037;99,67359768;99,45343001
00:01:14;95,41603;99,58897485;99,54266592
00:01:15;94,86039728;99,63733075;99,40881205
00:01:16;94,84650646;99,56479691;99,62074735
00:01:17;94,61036255;99,60106383;99,41996654
00:01:18;94,804834;99,46808511;99,57612939
00:01:19;94,70759828;99,60106383;99,36419409
00:01:20;94,86039728;99,54061896;99,52035694
00:01:21;94,84650646;99,56479691;99,31957613
00:01:22;95,05486873;99,44390716;99,44227552
00:01:23;95,06875955;99,55270793;99,37534858
00:01:24;95,31879428;99,49226306;99,47573898
00:01:25;95,42992082;99,52852998;99,4645845
00:01:26;95,44381164;99,41972921;99,4645845
00:01:27;95,49937491;99,51644101;99,52035694
00:01:28;95,58271982;99,41972921;99,44227552
00:01:29;95,73551882;99,50435203;99,54266592
00:01:30;95,77719128;99,38346228;99,38650307
00:01:31;96,09668009;99,50435203;99,55382041
00:01:32;96,04111682;99,38346228;99,33073062
00:01:33;96,22169746;99,41972921;99,4645845
00:01:34;96,20780664;99,33510638;99,28611266
00:01:35;96,44395055;99,52852998;99,41996654
00:01:36;96,38838728;99,44390716;99,26380368
00:01:37;96,68009446;99,51644101;99,34188511
00:01:38;96,62453118;99,40764023;99,28611266
00:01:39;96,95791082;99,55270793;99,33073062
00:01:40;96,80511182;99,44390716;99,31957613
00:01:41;97,04125573;99,44390716;99,28611266
00:01:42;96,94402;99,34719536;99,37534858
00:01:43;97,12460064;99,44390716;99,27495817
00:01:44;96,98569246;99,31092843;99,41996654
00:01:45;97,13849146;99,40764023;99,18572225
00:01:46;97,05514655;99,32301741;99,38650307
00:01:47;97,30518128;99,43181818;99,25264919
00:01:48;97,249618;99,37137331;99,36419409
00:01:49;97,249618;99,48017408;99,18572225
00:01:50;97,20794555;99,37137331;99,33073062
00:01:51;97,26350882;99,48017408;99,20803123
00:01:52;97,402417;99,35928433;99,26380368
00:01:53;97,47187109;99,41972921;99,23034021
00:01:54;97,59688846;99,31092843;99,26380368
00:01:55;97,555216;99,38346228;99,26380368
00:01:56;97,63856091;99,22630561;99,19687674
00:01:57;97,61077927;99,27466151;99,37534858
00:01:58;97,83303237;99,20212766;99,21918572
00:01:59;97,76357827;99,35928433;99,38650307
00:02:00;97,80525073;99,26257253;99,21918572
00:02:01;97,66634255;99,29883946;99,45343001
00:02:02;97,94415891;99,16586074;99,30842164
00:02:03;97,95804973;99,32301741;99,39765756
00:02:04;98,15252118;99,21421663;99,20803123
00:02:05;98,05528546;99,26257253;99,30842164
00:02:06;98,13863037;99,15377176;99,28611266
00:02:07;98,05528546;99,27466151;99,28611266
00:02:08;98,20808446;99,26257253;99,31957613
00:02:09;98,09695791;99,33510638;99,29726715
00:02:10;98,34699264;99,19003868;99,38650307
00:02:11;98,319211;99,28675048;99,26380368
00:02:12;98,43033755;99,20212766;99,37534858
00:02:13;98,34699264;99,26257253;99,23034021
00:02:14;98,34699264;99,15377176;99,39765756
00:02:15;98,45811918;99,25048356;99,21918572
00:02:16;98,49979164;99,15377176;99,37534858
00:02:17;98,65259064;99,22630561;99,20803123
00:02:18;98,61091818;99,15377176;99,2414947
00:02:19;98,73593555;99,25048356;99,16341327
00:02:20;98,63869982;99,17794971;99,2414947
00:02:21;98,66648146;99,17794971;99,2414947
00:02:22;98,58313655;99,17794971;99,19687674
00:02:23;98,65259064;99,26257253;99,26380368
00:02:24;98,69426309;99,15377176;99,19687674
00:02:25;98,90262536;99,17794971;99,31957613
00:02:26;98,86095291;99,08123791;99,17456776
00:02:27;98,97207946;99,17794971;99,31957613
00:02:28;98,81928046;99,16586074;99,17456776
00:02:29;98,777608;99,14168279;99,28611266
00:02:30;98,68037227;99,05705996;99,16341327
00:02:31;98,69426309;99,14168279;99,28611266
00:02:32;98,51368246;99,06914894;99,19687674
00:02:33;98,59702736;99,03288201;99,20803123
00:02:34;98,61091818;99,02079304;99,14110429
00:02:35;98,74982636;99,08123791;99,1299498
00:02:36;98,81928046;99,03288201;99,1299498
00:02:37;98,86095291;99,09332689;99,07417736
00:02:38;98,84706209;99,06914894;99,21918572
00:02:39;98,777608;99,08123791;99,1299498
00:02:40;98,74982636;98,96034816;99,20803123
00:02:41;98,74982636;98,96034816;99,00725042
00:02:42;98,930407;98,86363636;99,15225878
00:02:43;98,91651618;98,92408124;99,01840491
00:02:44;99,02764273;98,89990329;99,11879532
00:02:45;99,04153355;98,93617021;98,99609593
00:02:46;99,06931518;98,87572534;99,14110429
00:02:47;98,99986109;98,91199226;99,08533185
00:02:48;99,09709682;98,89990329;99,11879532
00:02:49;99,06931518;98,97243714;99,17456776
00:02:50;99,19433255;98,88781431;99,16341327
00:02:51;99,18044173;98,92408124;99,18572225
00:02:52;99,29156827;98,99661509;99,05186838
00:02:53;99,09709682;98,99661509;99,17456776
00:02:54;99,16655091;99,00870406;99,07417736
00:02:55;99,22211418;98,98452611;99,17456776
00:02:56;99,65272955;98,91199226;99,01840491
00:02:57;99,70829282;98,87572534;99,15225878
00:02:58;99,79163773;98,81528046;99,0295594
00:02:59;99,76385609;98,86363636;99,10764083
00:03:00;99,86109182;98,80319149;99,01840491
