;Specialized  3.1 S-Works;Bosch CX 5 (100 Nm);DJI Avinox;Gobao P101;Mahle M40
00:00:00;99,52972386;99,77030948;99,05649906;100;99,53148212
00:00:01;99,63824913;99,83075435;99,08979909;99,66536531;99,42863673
00:00:02;99,69854094;99,77030948;99,07869908;99,63190184;99,42863673
00:00:03;99,7105993;99,8549323;99,02319902;99,74344674;99,36007313
00:00:04;99,66236585;99,86702128;99,000999;99,7880647;99,46291852
00:00:05;99,66236585;99,86702128;99,000999;99,8884551;99,42863673
00:00:06;99,7105993;99,78239845;99,14529915;99,79921919;99,53148212
00:00:07;99,69854094;99,8549323;99,13419913;99,8884551;99,42863673
00:00:08;99,57795731;99,9032882;99,22299922;99,76575572;99,49720032
00:00:09;99,5176655;99,89119923;99,23409923;99,95538204;99,39435493
00:00:10;99,49354878;99,69777563;99,25629926;99,73229225;99,53148212
00:00:11;99,54178223;99,73404255;99,2007992;99,86614612;99,46291852
00:00:12;99,56589895;99,78239845;99,27849928;99,6765198;99,52005485
00:00:13;99,60207404;99,8549323;99,25629926;99,85499163;99,4057822
00:00:14;99,57795731;99,84284333;99,35619936;99,77691021;99,49720032
00:00:15;99,66236585;99,87911025;99,34509935;99,83268265;99,49720032
00:00:16;99,60207404;99,86702128;99,43389943;99,7880647;99,68003657
00:00:17;99,6141324;99,92746615;99,27849928;99,75460123;99,62290024
00:00:18;99,52972386;99,87911025;99,33399933;99,76575572;99,72574563
00:00:19;99,60207404;100;99,37839938;99,63190184;99,72574563
00:00:20;99,5176655;99,9516441;99,72249972;99,72113776;99,73717289
00:00:21;99,69854094;99,96373308;99,76689977;99,63190184;99,7028911
00:00:22;99,6141324;99,87911025;99,83349983;99,79921919;99,77145469
00:00:23;99,73471603;99,91537718;99,81129981;99,59843837;99,71431836
00:00:24;99,62619076;99,91537718;99,88899989;99,82152817;99,81716375
00:00:25;99,7105993;99,91537718;100;99,63190184;99,82859102
00:00:26;99,55384059;99,81866538;99,85569986;99,74344674;99,84001828
00:00:27;99,67442421;99,9032882;99,63369963;99,64305633;99,88572735
00:00:28;99,57795731;99,86702128;99,62259962;99,74344674;99,88572735
00:00:29;99,68648258;99,92746615;99,66699967;99,65421082;99,93143641
00:00:30;99,49354878;99,83075435;99,66699967;99,59843837;100
00:00:31;99,57795731;99,9516441;99,78909979;99,65421082;99,94286367
00:00:32;99,48149041;99,84284333;99,85569986;99,64305633;99,87430008
00:00:33;99,5176655;99,84284333;99,88899989;99,74344674;99,90858188
00:00:34;99,48149041;99,77030948;99,85569986;99,55382041;99,89715461
00:00:35;99,55384059;99,8549323;99,87789988;99,70998327;99,93143641
00:00:36;99,59001568;99,79448743;99,74469974;99,5649749;99,86287281
00:00:37;99,65030749;99,7582205;99,76689977;99,70998327;99,87430008
00:00:38;99,55384059;99,7098646;99,68919969;99,53151143;99,89715461
00:00:39;99,49354878;99,8065764;99,75579976;99,75460123;99,89715461
00:00:40;99,46943205;99,81866538;99,58929959;99,62074735;99,85144555
00:00:41;99,55384059;99,8549323;99,58929959;99,66536531;99,93143641
00:00:42;99,46943205;99,73404255;99,61149961;99,58728388;99,84001828
00:00:43;99,54178223;99,74613153;99,54489954;99,60959286;99,85144555
00:00:44;99,59001568;99,63733075;99,36729937;99,58728388;99,84001828
00:00:45;99,55384059;99,68568665;99,31179931;99,48689347;99,89715461
00:00:46;99,49354878;99,67359768;99,43389943;99,5649749;99,86287281
00:00:47;99,37296515;99,84284333;99,56709957;99,52035694;99,85144555
00:00:48;99,44531533;99,8549323;99,62259962;99,6765198;99,78288196
00:00:49;99,44531533;99,86702128;99,57819958;99,49804796;99,89715461
00:00:50;99,57795731;99,74613153;99,5004995;99,68767429;99,84001828
00:00:51;99,48149041;99,8065764;99,44499944;99,52035694;99,85144555
00:00:52;99,54178223;99,77030948;99,32289932;99,6765198;99,71431836
00:00:53;99,4211986;99,7582205;99,3006993;99,4645845;99,72574563
00:00:54;99,4211986;99,67359768;99,28959929;99,5649749;99,62290024
00:00:55;99,25238153;99,74613153;99,21189921;99,48689347;99,6686093
00:00:56;99,46943205;99,7098646;99,22299922;99,52035694;99,61147297
00:00:57;99,44531533;99,69777563;99,07869908;99,55382041;99,77145469
00:00:58;99,56589895;99,67359768;99,000999;99,60959286;99,65718204
00:00:59;99,4211986;99,78239845;98,9010989;99,64305633;99,74860016
00:01:00;99,57795731;99,69777563;98,8011988;99,52035694;99,71431836
