Kadenz;Specialized 3.1 S-Works;DJI Avinox;Bosch CX 5 (100 Nm);Gobao P101
25;244,5339421;221,4;196,0645709;215,7391402
25,5;249,4718317;226,4;201,0157247;221,2666428
26;254,3635929;231,3;206,0335203;226,7241551
26,5;259,2095711;236,1;211,0971689;232,1025242
27;264,0101839;240,8;216,1860413;237,3950464
27,5;268,7659036;245,5;221,2802342;242,5972219
28;273,4772415;250;226,3610497;247,7065243
28,5;278,1447336;254,4;231,4113892;252,722183
29;282,7689276;258,7;236,4160676;257,6449797
29,5;287,350371;262,9;241,3620502;262,4770573
30;291,8896013;267;246,238618;267,2217408
30,5;296,3871363;271;251,0374653;271,8833703
31;300,8434661;274,9;255,7527349;276,4671455
31,5;305,2590461;278,7;260,3809959;280,9789806
32;309,6342914;282,3;264,9211691;285,4253698
32,5;313,9695711;285,9;269,3744057;289,8132628
33;318,2652043;289,4;273,7439243;294,1499499
33,5;322,5214572;292,8;278,034813;298,4429563
34;326,7385399;296,1;282,2537995;302,699945
34,5;330,916605;299,3;286,4089981;306,9286279
35;335,0557462;302,5;290,5096361;311,1366852
35,5;339,1559977;305,5;294,5657674;315,3316923
36;343,2173345;308,5;298,587977;319,5210538
36,5;347,239673;311,4;302,5870826;323,7119445
37;351,2228716;314,2;306,5738381;327,9112566
37,5;355,1667328;317;310,5586436;332,1255538
38;359,0710046;319,7;314,5512675;336,3610305
38,5;362,9353833;322,4;318,5605841;340,6234769
39;366,7595157;325;322,5943314;344,9182496
39,5;370,5430024;327,5;326,6588933;349,2502463
40;374,2854007;330;330,7591085;353,6238864
40,5;377,9862281;332,5;334,8981114;358,0430948
41;381,6449661;334,9;339,0772052;362,5112902
41,5;385,2610636;337,3;343,2957718;367,031378
42;388,8339413;339,7;347,5512187;371,6057451
42,5;392,3629954;342;351,8389659;376,2362599
43;395,8476016;344,3;356,1524715;380,924274
43,5;399,2871198;346,6;360,4832989;385,6706275
44;402,6808977;348,9;364,8212234;390,4756565
44,5;406,0282754;351,2;369,1543778;395,3392036
45;409,3285895;353,4;373,4694358;400,2606298
45,5;412,5811771;355,7;377,7518313;405,2388291
46;415,7853802;357,9;381,9860096;410,2722447
46,5;418,9405496;360,2;386,1557077;415,3588868
47;422,046049;362,4;390,244259;420,4963516
47,5;425,1012584;364,7;394,6801243;425,6818422
48;428,1055786;366,9;400,0097763;430,9121901
48,5;431,0584342;369,2;404,7801487;436,1838779
49;433,9592772;371,5;409,0424844;441,4930625
49,5;436,8075906;373,7;412,8441327;446,8355997
50;439,6028912;376;416,2287859;452,2070681
50,5;442,3447328;378,3;419,2367044;457,602795
51;445,032709;380,7;418,1613126;463,017881
51,5;447,6664556;383;420,8668285;468,447226
52;450,245653;385,4;423,3739039;473,8855541
52,5;452,770029;387,7;425,681597;479,3274398
53;455,2393597;390,1;427,7913457;484,7673327
53,5;457,6534724;392,5;429,7067845;490,1995829
54;460,0122465;394,9;431,4334274;495,6184654
54,5;462,3156147;397,4;432,9781949;501,0182046
55;464,5635649;399,8;434,3487672;506,392998
55,5;466,7561401;402,3;435,5527384;511,7370392
56;468,89344;404,8;436,5965505;517,0445409
56,5;470,9756207;407,3;437,4841811;522,309756
57;473,0028954;409,8;438,2155593;527,5269994
57,5;474,975534;412,4;438,784682;532,6906677
58;476,8938633;414,9;439,1774011;537,795259
58,5;478,7582664;417,5;439,3688516;542,8353911
59;480,5691819;420,1;439,3204886;547,805819
59,5;482,3271032;422,6;439,2637694;552,7014516
60;484,0325773;425,2;439,5251386;557,5173671
60,5;485,6862039;427,8;439,7588303;562,2488278
61;487,2886335;430,4;439,969251;566,8912929
61,5;488,840566;433;440,1602211;571,4404318
62;490,3427487;435,6;440,3350331;575,8921343
62,5;491,7959747;438,2;440,4965066;580,2425218
63;493,2010803;440,8;440,6470395;584,4879555
63,5;494,5589428;443,4;440,7886545;588,6250451
64;495,8704783;446;440,9230424;592,6506551
64,5;497,1366387;448,6;441,0516027;596,561911
65;498,3584093;451,1;441,1754792;600,3562035
65,5;499,5368055;453,7;441,2955946;604,0311926
66;500,6728704;456,2;441,4126803;607,5848095
66,5;501,7676712;458,8;441,5273045;611,0152588
67;502,8222965;461,2;441,6398978;614,3210182
67,5;503,8378525;463,7;441,7507754;617,5008382
68;504,81546;466,2;441,8601578;620,5537406
68,5;505,7562512;468,6;441,9681893;623,4790159
69;506,6613657;471;442,0749538;626,2762196
69,5;507,5319475;473,4;442,1804898;628,9451679
70;508,3691413;475,7;442,2848022;631,4859325
70,5;509,1740889;478;442,3878739;633,8988346
71;509,9479258;480,2;442,4896746;636,1844375
71,5;510,6917777;482,5;442,5901695;638,3435394
72;511,4067567;484,6;442,6893252;640,3771647
72,5;512,0939581;486,8;442,7871155;642,2865552
73;512,7544569;488,9;442,8835258;644,0731598
73,5;513,3893042;490,9;442,9785562;645,738625
74;513,999524;492,9;443,072224;647,284783
74,5;514,5861102;494,9;443,1645655;648,7136413
75;515,1500229;496,8;443,2556364;650,0273701
75,5;515,6921854;498,7;443,345512;651,2282905
76;516,2134819;500,6;443,4342872;652,3188614
76,5;516,7147534;502,4;443,522075;653,301667
77;517,1967963;504,2;443,6090054;654,1794036
77,5;517,6603588;505,9;443,6952233;654,9548656
78;518,1061387;507,6;443,7808867;655,6309327
78,5;518,5347815;509,3;443,8661642;656,2105553
