Eingangsleistung;DJI Avinox;Specialized 3.1 S-Works;Bosch CX 5 (100 Nm);Gobao P101
50;603,527352;142,1295004;190,6021205;189,8749819
51;611,7712233;147,2277926;193,6054753;196,1835993
52;619,6773303;152,4267435;196,5894783;202,5195373
53;627,2574874;157,7228808;199,5615887;208,878186
54;634,5231651;163,1120609;202,5288328;215,2555555
55;641,4854981;168,5895278;205,4977728;221,6482556
56;648,1552932;174,1499723;208,4744805;228,0534711
57;654,5430372;179,787591;211,4645186;234,4689331
58;660,6589043;185,4961452;214,4729271;240,8928857
59;666,5127634;191,2690192;217,5042147;247,3240503
60;672,1141861;197,0992778;220,5623558;253,7615874
61;677,472453;202,9797232;223,6507908;260,2050555
62;682,5965615;208,9029502;226,7724318;266,6543694
63;687,4952322;214,8614003;229,9296711;273,1097566
64;692,1769162;220,8474143;238,0748056;279,5717134
65;696,6498013;226,8532833;242,0307424;286,0409603
66;700,9218188;232,8712973;245,7140784;292,5183978
67;705,0006498;238,8937924;249,1775596;299,0050626
68;708,8937317;244,9131957;252,4671292;305,5020838
69;712,6082643;250,9220678;255,6225589;312,0106413
70;716,1512155;256,9131433;258,6780381;318,5319239
71;719,5293278;262,8793682;261,6627219;325,0670909
72;722,7491237;268,8139362;264,6012416;331,617233
73;725,8169118;274,7103205;267,5141784;338,1833377
74;728,7387919;280,5623049;270,4185022;344,7662544
75;731,520661;286,364011;273,3279775;351,3666638
76;734,1682181;292,1099231;276,253538;357,9850482
77;736,6869701;297,7949107;279,2036315;364,6216654
78;739,0822365;303,4142479;282,1845366;371,2765241
79;741,3591548;308,9636303;285,5035337;377,9493635
80;743,5226849;314,4391891;289,2215313;384,6396341
81;745,5776146;319,8375026;292,9530359;391,3464824
82;747,528564;325,1556052;296,6949019;398,0687378
83;749,3799902;330,3909931;300,4439685;404,804903
84;751,1361919;335,5416286;304,1970845;411,5531467
85;752,8013136;340,6059408;307,9511322;418,311299
86;754,3793505;345,5828244;311,7030511;425,0768504
87;755,8741523;350,4716359;315,4498586;431,8469529
88;757,2894275;355,2721875;319,188671;438,6184239
89;758,6287475;359,9847389;322,9167224;445,3877529
